freq,sex,indic_se,isco08,sizeclas,nace_r2,unit,geo\TIME_PERIOD,2022
A,F,HOL,OC1,GE10,D,NR,CZ,
A,F,HOL,OC1,GE10,D,NR,DE,28.0
A,F,HOL,OC1,GE10,D,NR,DK,25.0
A,F,HOL,OC1,GE10,D,NR,EA19,38.0
A,F,HOL,OC1,GE10,D,NR,EA20,38.0
A,F,HOL,OC1,GE10,D,NR,EE,23.0
A,F,HOL,OC1,GE10,D,NR,EL,
A,F,HOL,OC1,GE10,D,NR,ES,
A,F,HOL,OC1,GE10,D,NR,EU27_2020,35.0
A,F,HOL,OC1,GE10,D,NR,FI,22.0
A,F,HOL,OC1,GE10,D,NR,FR,43.0
A,F,HOL,OC1,GE10,D,NR,HR,
A,F,HOL,OC1,GE10,D,NR,HU,
A,F,HOL,OC1,GE10,D,NR,IE,38.0
A,F,HOL,OC1,GE10,D,NR,IS,31.0
A,F,HOL,OC1,GE10,D,NR,IT,
A,F,HOL,OC1,GE10,D,NR,LT,
A,F,HOL,OC1,GE10,D,NR,LU,
A,F,HOL,OC1,GE10,D,NR,LV,22.0
A,F,HOL,OC1,GE10,D,NR,MT,
A,F,HOL,OC1,GE10,D,NR,NL,
A,F,HOL,OC1,GE10,D,NR,NO,26.0
A,F,HOL,OC1,GE10,D,NR,PL,26.0
A,F,HOL,OC1,GE10,D,NR,PT,
A,F,HOL,OC1,GE10,D,NR,RO,27.0
A,F,HOL,OC1,GE10,D,NR,RS,31.0
A,F,HOL,OC1,GE10,D,NR,SE,
A,F,HOL,OC1,GE10,D,NR,SI,
A,F,HOL,OC1,GE10,D,NR,SK,28.0
A,F,HOL,OC1,GE10,E,NR,AL,24.0
A,F,HOL,OC1,GE10,E,NR,AT,20.0
A,F,HOL,OC1,GE10,E,NR,BA,26.0
A,F,HOL,OC1,GE10,E,NR,BE,
A,F,HOL,OC1,GE10,E,NR,BG,24.0
A,F,HOL,OC1,GE10,E,NR,CH,21.0
A,F,HOL,OC1,GE10,E,NR,CY,
A,F,HOL,OC1,GE10,E,NR,CZ,26.0
A,F,HOL,OC1,GE10,E,NR,DE,28.0
A,F,HOL,OC1,GE10,E,NR,DK,
A,F,HOL,OC1,GE10,E,NR,EA19,27.0
A,F,HOL,OC1,GE10,E,NR,EA20,26.0
A,F,HOL,OC1,GE10,E,NR,EE,
A,F,HOL,OC1,GE10,E,NR,EL,21.0
A,F,HOL,OC1,GE10,E,NR,ES,24.0
A,F,HOL,OC1,GE10,E,NR,EU27_2020,27.0
A,F,HOL,OC1,GE10,E,NR,FI,
A,F,HOL,OC1,GE10,E,NR,FR,
A,F,HOL,OC1,GE10,E,NR,HR,
A,F,HOL,OC1,GE10,E,NR,HU,30.0
A,F,HOL,OC1,GE10,E,NR,IE,
